ANNO,PROVINCIA,GENERE,COORDINATA X,COORDINATA Y,SPERANZA DI VITA ALLA NASCITA,TASSO MORTALITA' PER 1.000 ABITANTI,TASSO MORTALITA INFANTILE PER RESIDENZA PER 1.000 NATI VIVI,POSIZIONE
2013,BRESCIA,M,10.18167955,45.51939749,80,8.919149416936499,2.48,"(45.51939749, 10.18167955)"
2013,MILANO,ALL,9.18951,45.46427,83.1,9.109199213023032,2.59,"(45.46427, 9.18951)"
2012,BRESCIA,ALL,10.18167955,45.51939749,82.3,8.93586081495469,3.62,"(45.51939749, 10.18167955)"
2015,PAVIA,ALL,9.14034225,45.18407925,81.7,12.908426404826344,2.13,"(45.18407925, 9.14034225)"
2016,REGIONE LOMBARDIA,F,,,85.5,9.20344188973905,,
2014,MILANO,M,9.18951,45.46427,81.4,8.884293820364727,2.26,"(45.46427, 9.18951)"
2014,MONZA E DELLA BRIANZA,ALL,9.258430902,45.5823624,83.4,8.463208087348551,2.9,"(45.5823624, 9.258430902)"
2014,BERGAMO,F,9.63853045,45.68012929,85,8.018340130698943,3.14,"(45.68012929, 9.63853045)"
2015,MANTOVA,M,10.77086348,45.14135331,80.4,11.95760914038129,1.93,"(45.14135331, 10.77086348)"
2013,LECCO,M,9.388156645,45.85028614,80.2,9.551606735300158,3.33,"(45.85028614, 9.388156645)"
2015,LODI,F,9.510140481,45.31535435,84.4,10.082278116853514,2.02,"(45.31535435, 9.510140481)"
2014,LECCO,F,9.388156645,45.85028614,85.8,8.487492902184634,2.08,"(45.85028614, 9.388156645)"
2015,MANTOVA,F,10.77086348,45.14135331,84.9,10.549190043461081,5.25,"(45.14135331, 10.77086348)"
2012,BRESCIA,F,10.18167955,45.51939749,85,8.654399715669228,4.1,"(45.51939749, 10.18167955)"
2013,ITALIA,ALL,,,82.2,9.973512029906392,2.96,
2016,PAVIA,ALL,9.14034225,45.18407925,82,12.180679470076527,,"(45.18407925, 9.14034225)"
2012,LODI,F,9.510140481,45.31535435,83.7,9.635212486800302,0.9,"(45.31535435, 9.510140481)"
2013,ITALIA,M,,,79.8,9.997466088929361,2.53,
2014,LECCO,ALL,9.388156645,45.85028614,83.4,8.997672762511655,2.49,"(45.85028614, 9.388156645)"
2014,BRESCIA,F,10.18167955,45.51939749,85.7,8.3457281780422,5.26,"(45.51939749, 10.18167955)"
2016,LECCO,ALL,9.388156645,45.85028614,83.5,9.370781085112279,,"(45.85028614, 9.388156645)"
2014,ITALIA,M,,,80.3,9.879325715825662,2.54,
